Fri Nov 22 22:19:16 GMT+08:00 2013
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1385129896494,5,25,5,0,17,0,0,0,0,0,0,0,0
1385129901495,5,25,5,0,17,0,0,0,0,0,0,0,0
1385129906494,5,25,5,0,17,0,0,0,0,0,0,0,0
1385129911494,5,25,5,0,17,0,0,11,1,0,0,0,0
1385129916494,5,25,5,0,17,0,0,11,1,9,1,0,0
1385129921494,5,25,5,0,17,0,0,11,1,9,1,0,0
1385129926495,5,25,5,0,17,0,0,27,2,18,2,0,0
1385129931494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385129936494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385129941494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385129946494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385129951494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385129956494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385129961494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385129966494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385129971494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385129976494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385129981493,5,25,5,0,17,0,0,27,2,18,2,0,0
1385129986494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385129991494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385129996494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385130001493,5,25,5,0,17,0,0,27,2,18,2,0,0
1385130006495,5,25,5,0,17,0,0,27,2,18,2,0,0
1385130011494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385130016493,5,25,5,0,17,0,0,27,2,18,2,0,0
1385130021493,5,25,5,0,17,0,0,27,2,18,2,0,0
1385130026494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385130031494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385130036494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385130041494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385130046494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385130051494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385130056494,5,25,5,0,17,0,0,27,2,18,2,0,0
1385130061494,5,25,5,0,17,0,0,28,2,18,2,0,0
1385130066494,5,25,5,0,17,0,0,28,2,18,2,0,0
1385130071493,5,25,5,0,17,0,0,28,2,18,2,0,0
1385130076494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130081494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130086494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130091494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130096494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130101494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130106494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130111494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130116494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130121494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130126494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130131494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130136494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130141494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130146494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130151494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130156493,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130161494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130166494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130171494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130176494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130181494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130186493,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130191494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130196493,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130201494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130206494,5,25,5,0,17,0,0,29,2,18,2,0,0
1385130211494,5,25,5,0,17,0,0,30,2,18,2,0,0
1385130216494,5,25,5,0,17,0,0,30,2,18,2,0,0
1385130221493,5,25,5,0,17,0,0,30,2,18,2,0,0
1385130226494,5,25,5,0,17,0,0,31,2,18,2,0,0
1385130231494,5,25,5,0,17,0,0,31,2,18,2,0,0
1385130236494,5,25,5,0,17,0,0,31,2,18,2,0,0
1385130241503,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130246494,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130251494,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130256494,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130261493,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130266495,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130271494,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130276494,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130281494,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130286494,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130291494,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130296495,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130301494,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130306508,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130311494,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130316494,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130321494,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130326495,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130331494,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130336494,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130341494,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130346494,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130351493,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130356494,5,25,5,0,17,0,0,49,2,27,3,0,0
1385130361494,5,25,5,0,17,0,0,50,2,27,3,0,0
1385130366494,5,25,5,0,17,0,0,50,2,27,3,0,0
1385130371494,5,25,5,0,17,0,0,50,2,27,3,0,0
1385130376494,5,25,5,0,17,0,0,50,2,27,3,0,0
1385130381494,5,25,5,0,17,0,0,50,2,27,3,0,0
1385130386494,5,25,5,0,17,0,0,50,2,27,3,0,0
1385130391494,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130396494,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130401493,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130406494,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130411494,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130416494,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130421495,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130426494,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130431494,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130436493,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130441494,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130446494,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130451493,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130456494,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130461494,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130466494,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130471494,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130476493,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130481494,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130486494,5,25,5,0,17,0,0,51,2,27,3,0,0
1385130491494,5,25,5,0,17,0,0,53,1,27,3,0,0
1385130496494,5,25,5,0,17,0,0,53,1,27,3,0,0
1385130501494,5,25,5,0,17,0,0,53,1,27,3,0,0
1385130506494,5,25,5,0,17,0,0,53,1,27,3,0,0
1385130511495,5,25,5,0,17,0,0,53,1,27,3,0,0
1385130516493,5,25,5,0,17,0,0,53,1,27,3,0,0
1385130521494,5,25,5,0,17,0,0,53,1,27,3,0,0
1385130526494,5,25,5,0,17,0,0,53,1,27,3,0,0
1385130531494,5,25,5,0,17,0,0,53,1,27,3,0,0
1385130536494,5,25,5,0,17,0,0,53,1,27,3,0,0
1385130541495,5,25,5,0,17,0,0,55,1,27,3,0,0
Fri Nov 22 22:33:20 GMT+08:00 2013
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1385130740603,5,25,5,0,17,0,0,0,0,0,0,0,0
1385130745604,5,25,5,0,17,0,0,10,1,0,0,0,0
1385130750604,5,25,5,0,17,0,0,10,1,9,1,0,0
1385130755604,5,25,5,0,17,0,0,10,1,9,1,0,0
1385130760603,5,25,5,0,17,0,0,10,1,9,1,0,0
1385130765603,5,25,5,0,17,0,0,10,1,9,1,0,0
1385130770604,5,25,5,0,17,0,0,10,1,9,1,0,0
1385130775604,5,25,5,0,17,0,0,10,1,9,1,0,0
1385130780604,5,25,5,0,17,0,0,10,1,9,1,0,0
1385130785603,5,25,5,0,17,0,0,10,1,9,1,0,0
1385130790604,5,25,5,0,17,0,0,10,1,9,1,0,0
1385130795605,5,25,5,0,17,0,0,10,1,9,1,0,0
1385130800604,5,25,5,0,17,0,0,11,0,9,1,0,0
1385130805605,5,25,5,0,17,0,0,25,1,18,2,0,0
1385130810604,5,25,5,0,17,0,0,25,1,18,2,0,0
1385130815604,5,25,5,0,17,0,0,25,1,18,2,0,0
1385130820604,5,25,5,0,17,0,0,25,1,18,2,0,0
1385130825604,5,25,5,0,17,0,0,25,1,18,2,0,0
1385130830604,5,25,5,0,17,0,0,25,1,18,2,0,0
1385130835603,5,25,5,0,17,0,0,25,1,18,2,0,0
1385130840604,5,25,5,0,17,0,0,39,2,18,2,0,0
1385130845604,5,25,5,0,17,0,0,39,2,27,3,0,0
1385130850604,5,25,5,0,17,0,0,39,2,27,3,0,0
1385130855603,5,25,5,0,17,0,0,39,2,27,3,0,0
1385130860604,5,25,5,0,17,0,0,39,2,27,3,0,0
1385130865604,5,25,5,0,17,0,0,39,2,27,3,0,0
1385130870604,5,25,5,0,17,0,0,41,1,27,3,0,0
1385130875604,5,25,5,0,17,0,0,57,2,27,3,0,0
1385130880604,5,25,5,0,17,0,0,57,2,36,4,0,0
1385130885604,5,25,5,0,17,0,0,57,2,36,4,0,0
1385130890604,5,25,5,0,17,0,0,58,2,36,4,0,0
1385130895604,5,25,5,0,17,0,0,58,2,36,4,0,0
1385130900604,5,25,5,0,17,0,0,58,2,36,4,0,0
1385130905604,5,25,5,0,17,0,0,58,2,36,4,0,0
1385130910604,5,25,5,0,17,0,0,58,2,36,4,0,0
1385130915605,5,25,5,0,17,0,0,58,2,36,4,0,0
1385130920604,5,25,5,0,17,0,0,58,2,36,4,0,0
1385130925604,5,25,5,0,17,0,0,58,2,36,4,0,0
1385130930604,5,25,5,0,17,0,0,58,2,36,4,0,0
1385130935604,5,25,5,0,17,0,0,58,2,36,4,0,0
1385130940604,5,25,5,0,17,0,0,58,2,36,4,0,0
1385130945605,5,25,5,0,17,0,0,60,1,36,4,0,0
1385130950604,5,25,5,0,17,0,0,60,1,36,4,0,0
1385130955605,5,25,5,0,17,0,0,60,1,36,4,0,0
1385130960604,5,25,5,0,17,0,0,60,1,36,4,0,0
1385130965604,5,25,5,0,17,0,0,60,1,36,4,0,0
1385130970603,5,25,5,0,17,0,0,60,1,36,4,0,0
1385130975604,5,25,5,0,17,0,0,60,1,36,4,0,0
1385130980604,5,25,5,0,17,0,0,60,1,36,4,0,0
1385130985604,5,25,5,0,17,0,0,60,1,36,4,0,0
1385130990604,5,25,5,0,17,0,0,60,1,36,4,0,0
1385130995604,5,25,5,0,17,0,0,60,1,36,4,0,0
1385131000604,5,25,5,0,17,0,0,60,1,36,4,0,0
1385131005604,5,25,5,0,17,0,0,60,1,36,4,0,0
1385131010604,5,25,5,0,17,0,0,60,1,36,4,0,0
1385131015604,5,25,5,0,17,0,0,60,1,36,4,0,0
1385131020604,5,25,5,0,17,0,0,60,1,36,4,0,0
1385131025604,5,25,5,0,17,0,0,62,1,36,4,0,0
1385131030604,5,25,5,0,17,0,0,62,1,36,4,0,0
1385131035604,5,25,5,0,17,0,0,62,1,36,4,0,0
1385131040604,5,25,5,0,17,0,0,62,1,36,4,0,0
1385131045604,5,25,5,0,17,0,0,62,1,36,4,0,0
1385131050604,5,25,5,0,17,0,0,62,1,36,4,0,0
1385131055604,5,25,5,0,17,0,0,62,1,36,4,0,0
1385131060604,5,25,5,0,17,0,0,62,1,36,4,0,0
1385131065604,5,25,5,0,17,0,0,62,1,36,4,0,0
1385131070604,5,25,5,0,17,0,0,62,1,36,4,0,0
1385131075604,5,25,5,0,17,0,0,62,1,36,4,0,0
1385131080604,5,25,5,0,17,0,0,62,1,36,4,0,0
1385131085604,5,25,5,0,17,0,0,62,1,36,4,0,0
1385131090604,5,25,5,0,17,0,0,62,1,36,4,0,0
1385131095604,5,25,5,0,17,0,0,62,1,36,4,0,0
1385131100604,5,25,5,0,17,0,0,62,1,36,4,0,0
1385131105604,5,25,5,0,17,0,0,62,1,36,4,0,0
1385131110604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131115603,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131120603,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131125604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131130604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131135604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131140604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131145604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131150604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131155604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131160604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131165603,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131170604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131175603,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131180604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131185604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131190604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131195604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131200604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131205603,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131210604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131215603,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131220604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131225604,5,25,5,0,17,0,0,63,1,36,4,0,0
1385131230605,5,25,5,0,17,0,0,64,1,36,4,0,0
1385131235604,5,25,5,0,17,0,0,64,1,36,4,0,0
1385131240604,5,25,5,0,17,0,0,64,1,36,4,0,0
1385131245604,5,25,5,0,17,0,0,64,1,36,4,0,0
